Taboão da Serra (Taboão da Serra/SP),"INSCRIÇÕES AQUI Turmas: Aos sábados em período integral, manhã e tarde. Processo Seletivo: Não há. Aula Inaugural: 06/08, sábado, às 14h. Endereço: E.E. Laurita Ortega Mari – Rua Tsuruki Tsuno, nº50 – Jardim Clementino – Taboão da Serra. Telefone: Ana Clara: (11) 99419 9657 Nemo: (11) 98339 3973"
Vladimir Herzog (Grajaú/SP),"INSCRIÇÕES AQUI Turmas: Turmas aos sábados em período integral, das 8h às 17h Processo Seletivo: Não há. Apenas caso a procura exceda o número de vagas será realizado sorteio, dando prioridade para alunos e ex-alunos de escola pública. Os não sorteados entrarão para a lista de espera. Endereço: Escola Estadual Professor Carlos Ayres, Avenida […]"
Emancipa DF (Distrito Federal/DF),"INSCREVA-SE AQUI Turma de Agosto 2016 – Aula inaugural: 27/08, às 14h, no local do cursinho. Confirme presença na Aula Inaugural: https://www.facebook.com/events/423621831141652/ Local do cursinho: CEM 03, Setor M Qnm 13, AE – Ceilândia Sul, Brasília – DF (próximo à estação de metrô Guariroba) Horário: sábados, das 9h às 18h. Nas redes: E-mail: redeemancipadistritofederal@gmail.com Facebook: https://www.facebook.com/EmancipaDF"
Belo Horizonte (Santo Antônio/MG),"INSCRIÇÕES AQUI! Local do cursinho: E E Leopoldo de Miranda. Rua Barão de Macaúbas, 449, bairro Santo Antônio, Belo Horizonte/MG. Horário: aos sábados, das 8h às 18h. Início das aulas: 27/02/2015 (sábado)   Coordenadores: Sandson Rotterdan (31) 9231 0105 Clara Prado (31) 8842 7873 Vinícius Moreira (31) 8446 7018 Matheus Barreto (31) 9628 7373 Sara […]"
Darcy Ribeiro (Montes Claros/MG),"O Cursinho Popular Darcy Ribeiro é um cursinho da Rede Emancipa que funciona em Montes Claros/Minas Gerais.   Turmas: turmas voltadas para o ENEM e para o vestibular seriado da UNIMONTES, o PAES – conta com aulas de todas as matérias e oferece três turmas: 1°, 2° e 3° ano. As aulas ocorrem aos sábados, […]"
Emancipa Pouso Alegre (Pouso Alegre/MG),"INSCRIÇÕES ABERTAS!!! Início das aulas: 04/JUNHO, às 8h INSCREVA-SE AQUI Local do cursinho: E E Presidente Bernardes – Avenida Belo Horizonte, 15 – Bairro João Paulo II Horário: sábados, das 8h às 17h. Contatos: E-mail: emancipapa@gmail.com Facebook: https://www.facebook.com/emancipapa  Coordenadores: Frances: 99185-4791 Tim Keila: 99159-2983 Tim Jesuino: 991914358 Tim Lais: 99849-6404 Vivo Luiz Carlos: 99917-4490 Vivo Marcelo: 99158-0681 Tim Marcos: 99906-5110 Vivo […]"
Emancipa Sul de Minas (Alfenas/MG),"Turma de Agosto 2016 – Início das aulas: 13/agosto, às 9h INSCREVA-SE AQUI Local do cursinho: E E Judith Vianna – Rua Gabriel Monteiro da Silva, 711 – Centro (em frente à Unifal-MG campus Sede) Horário: sábados, das 9h às 18h. Contatos: E-mail: emancipasuldeminas@gmail.com Facebook: https://www.facebook.com/emancipasuldeminas Coordenadoras: Mariana (35) 992 173 875 (Tim e Whats) Paula (35) 992 600 831 (Tim […]"
Uberlândia (Jardim das Palmeiras/MG),"Cursinho Popular de Uberlândia Local do cursinho: E. E. do Bairro Jardim das Palmeiras – Rua das Pambas, 201 – Bairro Jardim das Palmeiras, Uberlândia/MG. Horário: sábados, das 8h às 17h30 Início das aulas: 09/maio(sábado) Coordenadores: Fred (34) 9144 5326 Hiago (34) 9674 6093 Alexander (34) 9104 9547 Erica (34) 9273 6586 Gustavo (34) 9254 […]"
Emancipa Santarém (Santarém/PA),"O Cursinho Popular Emancipa/Santarém é um cursinho pré-universitário gratuito, suas aulas acontecerão na Escola Estadual de Ensino Fundamental e Médio Rio Tapajós, com o objetivo de atender jovens dos bairros de Diamantino, Livramento, São José Operário, Urumari e redondezas. Turma de Agosto: Começa no dia 24 e vai até o ENEM (ou até o processo […]"
Paulo Fonteles (Belém/PA),"A Rede Emancipa Belém se instalou em meados de 2011 com um programa educacional popular para atender jovens de baixa renda que desejam ingressar em uma universidade. Após 1 ano desativada a Rede Emancipa retorna com infra estrutura diferenciada e novos professores. Nosso intuito, ao instalar a novamente a Rede de Cursinhos que já existe […]"
Zé Claudio e Maria (Marabá/PA),"O Cursinho foi criado como projeto de extensão da Universidade Federal do Sul e Sudeste do Pará – UNIFESSPA (Antiga UFPA Campus de Marabá). Atualmente contamos com 50 alunos e 12 professores voluntários. O nome do cursinho homenageia o casal de ambientalistas assassinados no Pará, Zé Claudio e Maria do Espirito Santo.   Turmas: Aos […]"
Muda Xará (Gravataí/RS),"Inscrições As inscrições iniciais encerraram-se em 29/02/2016. As (os) interessadas (os) devem dirigir-se à Associação de Moradores do Bairro Xará ou ao local das aulas, sempre aos sábados. Turmas Turma aos sábados à tarde, das 15h às 18h Processo Seletivo Não há Endereço EEEM Carlos Bina Anexo B, Gravataí/RS (confirmaremos o endereço) Aula Inaugural Realizada […]"
Projeto Emancipa (Porto Alegre/RS),Um Cursinho Popular para estudantes de Escola Pública. O projeto que vai mudar o curso da sua vida! E-mail - cursinhopopularemancipa@gmail.com Telefone – (51) 9535-2802 Site - www.emancipa-rs.com.br
Satélite Prontidão (Parque dos Maias/RS),"Inscrições: Ocorrerão em maio Turmas: Aos sábados pela manhã Seleção: Não há Local: Associação Satélite Prontidão: Rua Alberto Rangel 528, Bairro Rubem Berta, Porto Alegre/RS Aula Inaugural: 03/06/2016, na Associação Telefone: Carmem Fontoura (051) 91218509 Email: cfontour@terra.com.br e csilviafontoura@gmail.com Página do Facebook: https://www.facebook.com/satelite.prontidao/timeline"
